Question,Answer
"When is the ""Hispanic Heritage Month""?","The event will be open on Sept. 15 - Oct. 15, 2024 at Midnight."
"Can you give me some information about ""Hispanic Heritage Month""?","Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs."
"Where can I see the ""17th International Exhibition of Botanical Art & Illustration""?","The event is at Hunt Institute for Botanical Documentation, 5th Fl...."
"Is there a specific location to enter for the ""17th International Exhibition of Botanical Art & Illustration""?","Yes, it is held at Hunt Institute for Botanical Documentation, 5th Fl...."
"When is the ""17th International Exhibition of Botanical Art & Illustration""?","The event will be open on October 15, 2024 at 9 a.m. - 5 p.m. M-F (to Dec 17)."
"Can you give me some information about ""17th International Exhibition of Botanical Art & Illustration""?",This Hunt Institute for Botanical Documentation exhibition includes 43 artworks by 43 artists representing 19 countries.
"Where can I see the ""30th Annual Andy Awards""?","The event is at McConomy Auditorium, Cohon University Center."
"Is there a specific location to enter for the ""30th Annual Andy Awards""?","Yes, it is held at McConomy Auditorium, Cohon University Center."
"When is the ""30th Annual Andy Awards""?","The event will be open on October 15, 2024 at Noon - 2 p.m.."
"Can you give me some information about ""30th Annual Andy Awards""?",Join us for this annual celebration as we recognize 59 staff members and 12 teams for their meaningful contributions to Carnegie Mellon University.
"Where can I see the ""CMU Pantry Hours""?",The event is at CMU Pantry.
"Is there a specific location to enter for the ""CMU Pantry Hours""?","Yes, it is held at CMU Pantry."
"When is the ""CMU Pantry Hours""?","The event will be open on October 15, 2024 at 2 - 5 p.m. Weekly (to Dec 20)."
"Can you give me some information about ""CMU Pantry Hours""?",The CMU Pantry is a free resource that combats food insecurity by providing food assistance to CMU students and their dependents.
"When is the ""Invisible Fight: Chronic Illness Support Group""?","The event will be open on October 15, 2024 at 4 - 5 p.m. Weekly (to Dec 17)."
"Can you give me some information about ""Invisible Fight: Chronic Illness Support Group""?","Living with a chronic illness/medical condition can be an isolating experience. This support group is an opportunity for students who experience chronic conditions (i.e. asthma, diabetes, autoimmune diseases, cancer, and others) to gather in community for support and validation."
"Where can I see the ""LGBTQIA+ Support and Social Group""?",The event is at Morewood Gardens Group Room.
"Is there a specific location to enter for the ""LGBTQIA+ Support and Social Group""?","Yes, it is held at Morewood Gardens Group Room."
"When is the ""LGBTQIA+ Support and Social Group""?","The event will be open on October 15, 2024 at 6 - 7 p.m. Weekly (to Dec 10)."
"Can you give me some information about ""LGBTQIA+ Support and Social Group""?",Come join us at this safer space for LGBTQIA+ folks to socialize and support one another.
"When is the ""Fall Break; No Classes""?","The event will be open on October 14 - 19, 2024 all day."
