Museum Name,Region,Type,Summary,Detail Information
American Jewish Museum,Squirrel Hill,Art,Contemporary Jewish art,"Contents
American Jewish Museum
The American Jewish Museum, or AJM, is a contemporary Jewish art museum located in Pittsburgh, Pennsylvania.  A department of the Jewish Community Center (JCC) of Greater Pittsburgh, the museum is located in the Squirrel Hill JCC at the corner Forbes Avenue and Murray Avenue, in the heart of Pittsburgh's historically Jewish neighborhood.  The museum was founded in 1998, and though it does not have a permanent collection, it hosts several original and traveling exhibitions each year.  The AJM aims to explore contemporary Jewish issues through art and related programs that facilitate intercultural dialogue.[1]
History
Prior to 1998, the JCC of Greater Pittsburgh had a small community gallery for nearly 25 years.  Under the auspices of Leslie A. Golomb Archived 2010-05-14 at the Wayback Machine, the gallery underwent a period of substantial growth, evolving into a museum and receiving accreditation from the Council of American Jewish Museums (CAJM).[2]  Accreditation by CAJM requires strict adherence to standards regarding archives, catalogues, and curating, as well as educational programs and outreach.
Today, the AJM galleries are still located on the Pittsburgh JCC's Squirrel Hill campus.  While the AJM continues to emphasize the Pittsburgh community in its exhibitions and programming, its scope has grown as it collaborates with regional, national, and international artists and organizations.  Additionally, the AJM frequently explores Jewish themes such as contemporary iterations of rituals, but aims to reach the wider community though exhibits with broad appeal and programming that encourages interfaith discourse.
Recent exhibitions
As a non-collecting museum, the AJM works with local, national, and international artists to create original exhibitions,[3] and occasionally hosts traveling exhibitions from institutions such as the United States Holocaust Memorial Museum.[4] Here is a list of recent, notable exhibitions:
References
External links"
Andy Warhol Museum,North Shore,Art,"Over 4,000 Warhol art works in all media - paintings, drawings, prints, photographs, sculptures, installations, films","Contents
The Andy Warhol Museum
The Andy Warhol Museum is located on the North Shore of Pittsburgh, Pennsylvania, in the United States. It is the largest museum in North America dedicated to a single artist.[4]  The museum holds an extensive permanent collection of art and archives from the Pittsburgh-born pop art icon Andy Warhol.
The Andy Warhol Museum is one of the four Carnegie Museums of Pittsburgh and is a collaborative project of the Carnegie Institute, the Dia Art Foundation and The Andy Warhol Foundation for the Visual Arts (AWFVA).[5]
The museum is located in an 88,000-square-foot (8,200 m2) facility on seven floors.  Containing 17 galleries, the museum features 900 paintings, close to 2,000 works on paper, over 1,000 published unique prints, 77 sculptures, 4,000 photographs, and over 4,350 Warhol films and videotaped works. Its most recent operating budget (2010) was $6.1 million.  In addition to its Pittsburgh location the museum has sponsored 56 traveling exhibits that have attracted close to nine million visitors in 153 venues worldwide since 1996.[6]
History
Plans for the museum were announced in October 1989,[7] about 2½ years after Warhol's death.  At the time of the announcement, works worth an estimated $80 million were donated to the newly announced museum by the AWFVA and the Dia Art Foundation.[7] Thomas N. Armstrong III, who had been the director of the Whitney Museum of American Art from 1974 to 1990, was named the museum's first director in 1993.[8] Matt Wrbican joined the staff of the museum before it opened, inventorying Warhol's belongings in New York, and has become the archivist and an expert on Warhol's work.[9]
By 1993, the 88,000-square-foot (8,200 m2) industrial warehouse and its extensive renovations had cost about $12 million, and the AWFVA had donated more than 1,000 of Warhol's works worth over $55 million,[8] a donation that grew to about 3,000 works.[4]
On May 13–14, 1994, the museum attracted about 25,000 visitors to its opening weekend.[4]  Armstrong, its founding director, resigned nine months after its opening; at the time of his resignation, the museum had had ""tense relations"" with the AWFVA and the Carnegie Institute, its financial backer, though The New York Times could find no one involved who would say whether that friction played a role in Armstrong's resignation.[4]
On November 1, 1997, the AWFVA donated all Warhol film and video copyrights to the museum.[10]
In 2013, it was announced that in Manhattan, New York City, in the Essex Crossing development on the Lower East Side, an annex to the main Pittsburgh museum was scheduled to open by 2017.[11][12][13][14]
[15] However, the museum announced in March 2015 that it had dropped its plans to open the New York annex.[16]
In October 2019, an audio tape of publicly unknown music by Lou Reed, based on Warhol's 1975 book, “The Philosophy of Andy Warhol: From A to B and Back Again”, was reported to have been discovered in an archive at the museum in Pittsburgh.[17]
In 2022, the museum announced a $60 million expansion deemed The 'Pop District' covering six blocks in Pittsburgh, PA. The expansion looks to build a music venue, a social media studio called Warhol Creative, and expand places for public art exhibits.[18] The proposed site would be around 58,000 square feet (17,500 square meters), including a first-floor concert venue with standing room for up to 1,000 people, a second-floor mezzanine, and an events space that could hold up to 360 people on the fourth floor. The third floor would be used for offices and support spaces.[19] The project is expected to take ten years and is funded primarily through local foundations.[20]
In popular culture
See also
References
External links"
August Wilson Center for African American Culture,Cultural District,African American,Cultural center about African Americans in Western Pennsylvania and people of African descent around the world,"Contents
August Wilson African American Cultural Center
The August Wilson African American Cultural Center is a U.S. nonprofit arts organization based in Pittsburgh, Pennsylvania, that presents performing and visual arts programs that celebrate the contributions of African Americans not only in Western Pennsylvania, but nationally and internationally.
The August Wilson African American Cultural Center building is on Liberty Avenue in Downtown Pittsburgh's Cultural District. It includes galleries, classrooms, a 500-seat theater, a gift shop, a cafe, and many multi-purpose spaces for visual and performing art. The museum opened in 2009.
History
The August Wilson Center was part of a plan drawn up by Pittsburgh NAACP President Tim Stevens in 1996 in order to try to bring the National NAACP Convention to Pittsburgh. In the plan, there was a statement that urged the Mayor of Pittsburgh to provide financial backing for an African American Museum. Later in 1996, then-Mayor Tom Murphy charged two City Council Members, Sala Udin and Valerie McDonald with bringing stakeholders together to discuss the museum's future. Funding from various sources, including the URA, State of Pennsylvania, and The Heinz Endowments came together to begin construction of the center. The land on which the center sits was taken by eminent domain and sold to the museum for $1. The center celebrated its ""topping off"" ceremony on August 12, 2008, at 12:30 pm. Construction was completed shortly thereafter and the museum was open to the full public on September 17 and 19, 2009.[1]
The August Wilson Center was designed under the direction of Allison G. Williams, FAIA and members of her team from her San Francisco office of Perkins and Will. During the design of this project, AI merged with MBT Architecture and then was subsequently bought by Perkins+Will. The project design was completed in the San Francisco office of Perkins+Will. Team members included Greg Lehman, Sally Curtis, Stacie Velten.[2]
In February 2019, the August Wilson Center for African American Culture (the center's original name) changed its name to the August Wilson Cultural Center,[3] and the following month, to the August Wilson African American Cultural Center (the latter change, following an online petition objecting to the deletion of ""African American"" from its name).[4]
Debt troubles
The center struggled to pay off its construction debt from 2012, on January 20, 2014, a federal bankruptcy official reported that the center's debt situation might be irreversible.[5] Subsequently, a federal court ruled on January 27, 2014, that the center's liquidation could begin to pay off debts.[6]
In February 2014 concerned stakeholders started a website to raise funds for the center.[7] After numerous court cases, the center was sold at a sheriff's sale on November 3, 2014, to the mortgage holder, Dollar Bank  for $1,912.50.[8]
On November 5, 2014 Dollar Bank sold the center to a nonprofit consortium for $7.9 million. The consortium included contributions from private foundations: $2.45 million from the Heinz Endowments, $2.35 million from the Richard King Mellon Foundation, $500,000 from the Pittsburgh Foundation and $500,000 from the Thomas Tull Family Foundation. Public sources contributed another $3.15 million: $1.65 million from the Urban Redevelopment Authority and $1.5 million from the Allegheny Regional Asset District.[9]
The court-appointed conservator had originally agreed to sell the building for $9.5 million to a private developer, 980 Liberty Partners, who had planned to build a hotel on top of the center. Pittsburgh Major Bill Peduto, Allegheny County Executive Rich Fitzgerald and the URA fought the bid. 980 Liberty Partners withdrew in a September 2014 settlement that favored the consortium of local foundations. 980 Liberty partners was reimbursed $360,000 from URA's share of the purchase price.[9]
By 2019, the center was on a solid financial foundation, having ended 2018 with a budget surplus and was building a capital reserve.[10] By 2020, the center was showing additional signs of recovery, having increased its operating budget to $7.25 million from $1.77 million in 2015 and increased the percentage of the budget coming from earned income to 17% from 5%. The center had greatly increased its individual donor base and held substantially more events.[11]
References
External links"
Bicycle Heaven,Chateau,Transportation,"website, bicycle store and museum","Contents
Bicycle Heaven
Bicycle Heaven is the largest transportation museum in the world dedicated to bicycles.[2][3][4] The museum was founded by Craig Morrow and comprises his personal collection gathered over decades. It is located in Pittsburgh, Pennsylvania.
The museum is an active collection. The 650 m2 show room contains over 3,500 bicycles with an additional 27,000 in storage.[5] There are over 100,000 parts to keep the collection in repair.[6]
Bicycle Heaven maintains free entry by serving as a bike shop and consulting as prop agents for film, television and theatrical productions. After filming, the bicycles are returned and become part of the permanent collection.[7][8]
History
Bicycle Heaven was founded in 2011.
Exhibits
Bowden Spacelanders
Benjamin Bowden, a British industrial designer, designed a space-age fiberglass bicycle in 1946. Bowden named the design the Spacelander; it entered production in 1960 and sold for $89.50.[9] Only 522 Spacelander bicycles were made in the original run.[10] By the 1990s only a few dozen were estimated to have survived. Morrow collected 17 of the proposed 38 left in the world.[11] The Bowden Spacelanders are some rarest bicycles in the museum. Given their scarcity and good condition, they are valued over $50,000 each.[12][13]
Pee-Wee Herman's Bicycle
One of the jewels of the museum is one of the prop bikes used as Pee-wee Herman's bicycle, the MacGuffin of the film Pee-wee's Big Adventure.[5][12][14]
Other Movie Bicycles
The museum displays bicycles used in the films A Beautiful Mind,[7] Fences, Super 8,[13] and others.
References
External links"
Carnegie Museum of Art,Oakland,Art,"Contemporary art, hosts the Carnegie International every few years, sculpture, architectural drawings, photography","Contents
Carnegie Museum of Art
The Carnegie Museum of Art is an art museum in the Oakland neighborhood of Pittsburgh, Pennsylvania. The museum was originally known as the Department of Fine Arts, Carnegie Institute and was formerly located at what is now the Main Branch of the Carnegie Library of Pittsburgh. The museum's first gallery was opened for public use on November 5, 1895. Over the years, the gallery vastly increased in size, with a new building on Forbes Avenue built in 1907. In 1963, the name was officially changed to Museum of Art, Carnegie Institute. The size of the gallery has tripled over time, and it was officially renamed in 1986 to ""Carnegie Museum of Art"" to indicate it clearly as one of the four Carnegie Museums.[1]
History
Andrew Carnegie first thought of setting up a museum in 1886[2] that would preserve a ""record of the progress and development of pictorial art in America."" Dedicated on November 5, 1895, the art gallery was initially housed in the Carnegie Library of Pittsburgh's Main Branch in Oakland.
Carnegie initially envisioned a museum collection consisting of the ""Old Masters of tomorrow"".[3] The museum received a major expansion in 1907 with the addition of the Hall of Architecture, Hall of Sculpture, and Bruce Galleries, with funds again provided by Carnegie.[4]
Under the directorship of Leon A. Arkus, the Sarah Mellon Scaife Gallery (125,000 square feet) was built as an addition to the existing Carnegie Institute. Designed by architect Edward Larrabee Barnes, it first opened in 1974 and more than doubled the museum's exhibition space, also adding a children's studio, theater, café, offices, and bookstore.[5] The New York Times art critic John Russell described the gallery as an ""unflawed paradise."" The gallery has been renovated several times since its original creation, most recently in 2004.
Today the museum also stages the Carnegie International every few years. Numerous significant works from the Internationals have been acquired for museum's permanent collection including Winslow Homer's The Wreck (1896) and James A. McNeill Whistler's Arrangement in Black: Portrait of Señor Pablo de Sarasate (1884).
Collections and departments
The museum's curatorial departments include: Fine Arts (Contemporary Art, Works on Paper), Decorative Arts, Architecture and Photography. Every year, the museum hosts up to 15 different exhibitions. Approximately 35,000 pieces make up its permanent collection, which also includes works on paper, paintings, prints (particularly Japanese prints), sculptures, and installations from the late seventeenth century to the present. The museum has notably strong collections of both aluminum relics and chairs. Approximately 1,800 works are on view at any given time.
The museum also maintains a large archive of negatives from African American photographer Charles ""Teenie"" Harris.[3]
Heinz Architectural Center - The collection includes works in architecture, landscape design, engineering, and furniture and interior design. The center's facilities includes 4,000 square feet of exhibition space and a library housing several thousand books and journals.
The Hillman Photography Initiative - The Initiative hosts a variety of projects including live public events, web-based projects, documentary videos, art projects, and writing. Yearly programming is determine by a group of five ""agents"" who plan and curate each 12-month cycle of works hosted.[6]
Collection Themes
Galleries
Educational programs
Saturday art classes in the galleries of the Carnegie Museum of Art have been conducted for over 75 years. Alumni of the program include Andy Warhol, photographer Duane Michals, and contemporary artist Philip Pearlstein. [citation needed] The museum has classes specific to various age groups.[13]
Looted art controversy
In 2023 the Manhattan District Attorney seized a drawing by Egon Schiele entitled Portrait of a Man within the framework of a criminal investigation concerning the Nazi-era looting of the collection of Fritz Grunbäum, who was murdered in the Holocaust.[14][15]
Gallery
Past directors
See also
References
External links"
Carnegie Museum of Natural History,Oakland,Natural history,"Dinosaurs, gems & minerals, Native American & Egyptian artifacts, nature dioramas, Powdermill Nature Reserve","Contents
Carnegie Museum of Natural History
The Carnegie Museum of Natural History (abbreviated as CMNH) is a natural history museum in the Oakland neighborhood of Pittsburgh, Pennsylvania. It was founded by Pittsburgh-based industrialist Andrew Carnegie in 1896. 
Housing some 22 million specimens, the museum features one of the finest paleontological and entomological collections in the world.
Description and history
The museum consists of 115,000 square feet (10,700 m2) organized into 20 galleries as well as research, library, and office space. It holds some 22 million specimens, of which about 10,000 are on view at any given time and about 1 million are cataloged in online databases. In 2008 it hosted 386,300 admissions and 63,000 school group visits. Museum education staff also actively engage in outreach by traveling to schools all around western Pennsylvania.
The museum gained prominence in 1899 when its scientists unearthed the fossils of Diplodocus carnegii.[1] Notable dinosaur specimens include one of the world's very few fossils of a juvenile Apatosaurus, the world's first specimen of a Tyrannosaurus rex,[2] and a recently identified species of oviraptorosaur named Anzu wyliei.[3]
Research teams including former Carnegie scientists made critical discoveries such as Puijila darwini, Castorocauda lutrasimilis, and Hadrocodium wui.
Other major exhibits include Hillman Hall of Minerals and Gems, Alcoa Foundation Hall of American Indians, Polar World: Wyckoff Hall of Arctic Life, Walton Hall of Ancient Egypt, Benedum Hall of Geology, Dinosaurs in Their Time, and Powdermill Nature Reserve, established by the museum in 1956 to serve as a field station for long-term studies of natural populations.
The museum's active curatorial departments are: Anthropology, Birds, Botany, Herpetology (Amphibians & Reptiles), Invertebrate Paleontology, Invertebrate Zoology, Mammals, Minerals, Mollusks (Malacology), and Vertebrate Paleontology. These departments work collaboratively under strategic centers created to re-frame how the museum leverages its research, exhibitions, and public programming to meet the challenges and issues of today. In late 2013, however, the museum's parent organization and interim administration eliminated multiple scientific positions, seriously reducing its capacity to conduct original research.
Scientific publications
Carnegie Museum of Natural History publishes scholarly journals and books including Annals of Carnegie Museum, which offers peer-reviewed articles in organismal biology, earth sciences, and anthropology; Bulletin of Carnegie Museum of Natural History, offering monographs or collections of related papers from symposia; and Special Publications of Carnegie Museum, documenting special topics or areas of research.
See also
References
External links"
Kamin Science Center,Chateau,Science,"Hands-on exhibits, includes Miniature Railroad & Village of Western PA and the Highmark SportsWorks","Contents
Carnegie Science Center
The Carnegie Science Center, soon to be The Daniel G. and Carole L. Kamin Science Center,[2]  is one of the four Carnegie Museums of Pittsburgh, Pennsylvania. It is located in the Chateau[3] neighborhood. It is located across the street from Acrisure Stadium.
Overview
The Carnegie Science Center is the most visited museum in Pittsburgh, and is located along the Ohio River on the North Shore. It has four floors of interactive exhibits totaling over 400 exhibits, and attracts nearly 500,000 visitors each year.[1] [4] Among its attractions are the Buhl Planetarium (which features the latest in digital projection technology), the Rangos Giant Theater (promoted as ""the biggest screen in Pittsburgh""), a physical home for some of Carnegie Mellon University’s Robot Hall of Fame (in the lobby of the Rangos Giant Cinema),[5] SportsWorks, the Miniature Railroad & Village, and the USS Requin (a World War II submarine).
Updates
According to Nicholas Efran, ""The Carnegie Science Center has been a gathering place for kids and families for many years."" However, currently there are many new exhibits that staff are ""Not able to include because of the smaller size of the building""[6] In June 2018, the museum's new wing opened, allowing the museum to host new and larger exhibits.
In August 2021, the Pittsburgh Zoning Board of Adjustment extended the center's use of its 450-space parking lot until 2026, at which point it will need to significantly reduce the space number to 75 spaces to conform to zoning regulations.[7]
In October 2021, the center received funding from the Centers for Disease Control and Prevention (CDC)'s Communities for Immunity initiative because of its support of vaccine confidence in the Pittsburgh community. It used the $10,000 award to contribute to its COVID-19 vaccination awareness programs.[8]
In June of 2022, § Roboworld closed. Some of the inductees to the Robot Hall of Fame, such as C-3PO and R2-D2 from ""Star Wars"", Maria from ""Metropolis"", as well as HAL 9000 from ""2001: A Space Odyssey"", were moved to the Rangos Giant Cinema. The big, free-throw-shooting basketball robot was moved to the § SportsWorks facility. Andy Roid, the singing Robothespian that greets visitors, was moved to the Science Center’s main lobby. All other robots from the exhibit went into storage ""until the Science Center decides what to do with it"".[5][9]
History
Its predecessor was the Buhl Planetarium and Institute of Popular Science, which opened on October 24, 1939. The Buhl Planetarium was the fifth major planetarium in the United States, and was popular for several decades.  However, by the 1980s it had begun to show signs of age. An expansion was ruled out, so the institute was relocated to the Chateau neighborhood. However, it became apparent to the Buhl Institute that the relocation efforts would require more staffing than they were able to provide. At this point, the Carnegie Institute (under the leadership of Robert Wilburn) stepped in, showing interest in merging with the Buhl Institute. Both parties agreed to the merger in 1987. On October 5, 1989, construction began on the $40 million building, designed by local architect Tasso Katselas, which was renamed the Carnegie Science Center as a result of the merger.[10] The Henry Buhl Jr. Planetarium and Observatory was reinvented in this new facility. The Center opened in October 1991.[11] On January 23, 2024, the Carnegie Science Center announced that they received a 65 million dollar donation from Daniel G. and Carole L. Kamin. In honor of the donation they announced plans to rename the center to The Daniel G. and Carole L. Kamin Science Center[12]
Roboworld (until 2022)
The Roboworld area was the second-floor attraction at the Carnegie Science Center until June 19, 2022.[9] It was touted as ""the world's largest permanent robotics exhibition"", with more than 30 interactive displays featuring ""all things robotic"".[13]
Until it closed, the first robot encounter in Roboworld was Andy Roid, the Robothespian, an interactive, animatronic robot that introduced visitors to the concepts of robotic sensing, processing and acting. The area's other exhibits showcased different types of robots and videos about them.
Roboworld was also home to famous robots such as R2D2, Hal9000, C-3PO, and Gort.[14]
The Robot Hall of Fame featured famous robots from science fiction films, television, and video games, such as R2-D2, C-3PO, Data, the T-800 Terminator, R.O.B., Maschinenmensch, Gort, Robby the Robot, Robot B-9, HAL 9000, and Huey, Dewey, and Louie from Silent Running.
Highmark SportsWorks
Highmark SportsWorks (formerly UPMC SportsWorks) is one of the major, permanent exhibits of the Carnegie Science Center.  It is one of larger science and sports exhibitions in the world, with over 30 interactive experiences in which visitors can participate.[15] The main idea of SportsWorks is ""to inspire learning and curiosity by uniting the experience of sports for every age level with the laws of science that controls sports.""[15] SportsWorks features three themed areas:  Physics of Sports (exploring the science of balance, trajectory, center of gravity, momentum, etc.), LifeWorks (featuring information for keeping a healthy lifestyle), and Sports Challenge (demonstrating various physical activities present in many sports).
The previous sponsor, UPMC, ended its sponsorship of SportsWorks in 2006. On November 13, 2008, the Carnegie Science Center unveiled plans for a new 12,000-square-foot (1,100 m2) SportsWorks, sponsored by Highmark.  It reopened in the Fall of 2009.[16]
From October 8, 2007, until May 2008, SportsWorks housed the controversial exhibit BODIES... The Exhibition.  At least one employee of the Carnegie Science Center left her job due to the implementation of this exhibit.[17]
A committee from Pittsburgh Regional Transit, then known as Port Authority, recommended in 2007 that the site be purchased and that SportsWorks be demolished to allow for construction of tracks for the North Shore Connector, an extension of Pittsburgh's light rail line to the North Side of Pittsburgh.[18]
E-motion cone
The E-motion cone is a white-colored, inverted cone which sits atop the Science Center building. It is referred to as the Weather Cone and was designed by New York architect Shashi Caan and lighting designer Matthew Tanteri. It was installed in 2000 with a computerized lighting system.[19] In 2008 a storm damaged the cone, thus it underwent upgrades to its lighting system with an addition of energy-efficient bulbs.[20] At night, it is lit with different colors, signalling the weather forecast from WTAE-TV for the coming day.[21][22]
See also
External links
Official website
References"
Center for PostNatural History,Garfield,Natural history,"Storefront museum, displays organisms that have been intentionally altered by humans by means including selective breeding or genetic engineering","Contents
Center for PostNatural History
The Center for PostNatural History is a storefront museum in Pittsburgh's Garfield neighborhood. In contrast to typical natural history museums, it is focused on the collection and exposition of organisms that have been intentionally and heritably altered by humans by means including selective breeding or genetic engineering,[1] a phenomenon referred to as the postnatural. The Center is ""dedicated to the advancement of knowledge relating to the complex interplay between culture, nature, and biotechnology"", whose mission is ""to acquire, interpret, and provide access to a collection of living, preserved, and documented organisms of postnatural origin"".[1]
Origins
It was founded by Richard Pell, an associate professor of Electronic and Time-based Arts at Carnegie Mellon University.[2]
Exhibits
Displays have included GloFish (with fluorescence genes from sea coral), 'Biosteel' goats that grow spider silk proteins in their milk,[3] transgenic fruit flies and a Silkie chicken, bred through the continuation of a recessive gene for its fluffy, fur-like coat.
Exhibits are narrated via wired telephone handset.[3][4] A range of formats are used including photography, taxidermy and dioramas, and living exhibits.[5] In addition, the Center has an extensive online archive detailing past and current exhibitions, specimens, archives, events and press releases. Details of past exhibitions include notably those of the Cold Coast Archive, a collection of artefacts and seeds from the Svalbard Global Seed Vault collected by researchers and artists Signe Lidén, Annesofie Norn, and Steve Rowell which was displayed at the Center in 2012;[6] Atomic Age Rodents, an archive of rodents from the Smithsonian National Museum of Natural History which had been used in some form or another in atomic testing in the early to mid-20th Century;[7] and PostNatural Nature, produced in collaboration with the Museum für Naturkunde in Berlin documenting different instances of the postnatural in everyday organisms.[8]
Traveling exhibitions for museums and galleries are also produced.[2] Locations displayed at include the Waag Society in Amsterdam and the Art Laboratory in Berlin.[9]
Design
The Center employs a delicate and purposeful aesthetic to the display of their exhibits. It also intentionally uses neutral language so as to invite visitors to go beyond a reactionary impulse to stigma-blighted words, and instead consider the specimens and ideas on a deeper level. ""The Center for Post Natural history does not offer a celebration of this technological harnessing of the immanence of life, nor is it a simple rejection. Instead it is a careful exploration of how lives might be lived together, asking what might be at stake for subjects, places, practices and politics"".[10]
In addition, the Center also produces a range of other paraphernalia pertaining to their collections and other conceptions of the postnatural. These include books, T-shirts and postcards,[11] and 3D archival prints which can be purchased on site.
Recent news
In 2015, the Center was featured by National Geographic in their March 2015 The Age of Disbelief issue.[12]
References
External links"
Children's Museum of Pittsburgh,Allegheny Center,Children's,"Exhibits include Mister Rogers' Neighborhood, Waterplay, Art Studio, Garage, Curiosity Lab, Theater, Nursery, artwork you can play with","Contents
Children's Museum of Pittsburgh
The Children's Museum of Pittsburgh is a hands-on interactive children's museum  in Pittsburgh, Pennsylvania. It is in the Allegheny Center neighborhood in Pittsburgh's Northside.
History
The Children's Museum of Pittsburgh was founded in 1983 in the old Allegheny Post Office, gifted to the museum by the Pittsburgh History and Landmarks Foundation, and is situated on Pittsburgh's North Side, formerly Allegheny City. The neighboring Buhl Planetarium building was vacated by 1991 when it was superseded by the nearby Kamin Science Center.  The museum grew from a traveling mobile museum started at the Three Rivers Arts Festival in 1972, and was part of the first wave of children's museums spreading across the country at that time.[3]
New building
In the early 2000s, it was announced the museum would be expanding from the old Beaux Arts-style post office into the neighboring vacant Art Deco Buhl Planetarium.  A plan was devised by Koning Eizenberg Architecture, Inc. to connect the two historic structures with a modern glass addition over what was a street called Allegheny Square.  The street was vacated and realigned and the addition was built.
The Children's Museum of Pittsburgh became the largest Silver LEED certified museum in the country in March 2006. This validates that the museum's expansion has been designed and constructed using sustainable practices with particular attention to site development, water conservation, energy management, using recycled materials, waste management, reusing resources, indoor air quality as well as developing new programs for visitors. To offer teaching moments about the new green museum, many of the building's structural and mechanical systems are left exposed.
Buhl Community Park
In 2010, officials announced plans to rehab a rundown park in front of the museum. The centerpiece of the new park will be a fog sculpture by Ned Kahn. The park opened on June 23, 2012, during a community celebration.[4][5]
Grounds
In its seasonal ""Backyard"",[6] the museum grounds includes an interactive environment called ""Allegheny Waterworks"" which incorporates preserved local architectural relics.[7]
A garden on the grounds once displayed sculptures of Guyasuta, Christopher Gist and others, designed by sculptor Charles Keck and rescued from the Manchester Bridge when it was razed in 1970. The garden was removed in the 2000s to make room for more parking. The Guyasuta and Gist sculptures have been reinstalled near Stage AE in the North Shore neighborhood.[8]
Exhibits
The Children's Museum of Pittsburgh houses several ongoing exhibits as well as rotating exhibits.   The MAKESHOP, Kindness Gallery, Studio, Backyard, Garage, Garden, Theater, Waterplay, and Nursery areas are ongoing interactive exhibits and encourage touch and play.[9]   Also located within the museum are iconic items from the show Mister Rogers' Neighborhood. These include the original puppets, one of Fred Rogers' sweaters, and his sneakers.[10]
Programs
The Children's Museum of Pittsburgh presents a wide variety of programs for children in fields ranging from dance and rocket building to quilting and robotics. Visiting artists offer workshops in a host of media, including pottery, Japanese paper cutting, animation and painting. The museum's extensive outreach program offers performances, workshops, after school programs, artist days and festival programs for schools and groups throughout the year. Educational field trips are offered for local schools, scouts and other groups. The museum has collaborated with a number of regional institutions and programs, such as the University of Pittsburgh and the Create a Comic Project.[11][12]
Awards
The addition has received numerous awards, including a 2009 National Medal for Museum and Library Service from the Institute of Museum and Library Services, National Trust for Historic Preservation award, LEED silver certification, and an award from American Institute of Architects.
Children's Museum Executive Director Jane Werner received the Green Building Alliance[13] 2006 Shades of Green Leadership Award which celebrates leaders who have helped transform the Pittsburgh region into a more sustainable place to live and work. Werner's contributions cited include launching a new program/initiative supporting green-building related activities; raising significant community awareness and outreach of green issues through materials, programs and events; and influencing the adoption of a program/policy through advocacy efforts and implementing green management and operation policies within the Children's Museum of Pittsburgh.
References
External links"
The Clemente Museum,Lawrenceville,Biographical,Life of baseball Hall of Famer Roberto Clemente,"Contents
The Clemente Museum
The Clemente Museum is an American museum honoring Roberto Clemente, the Major League Baseball right fielder of the Pittsburgh Pirates and Hall of Famer.
The museum is located in the former Engine House No. 25, in the Lawrenceville section of Pittsburgh, Pennsylvania. It features thousands of items of Clemente memorabilia, including professional sports photography, Clemente family snapshots, old uniforms, gloves, balls, bats, and seats from Forbes Field.[1][2]
History
The Roberto Clemente Museum was founded in 2007[1] by photographer Duane Rieder. Rieder had met Clemente's family in 1994 during a photo shoot. A decade later, his personal Clemente collection with help from Clemente's immediate family would serve as the basis for the museum.[3]
In 2017, a charity auction featuring over 700 pieces of Roberto Clemente's memorabilia was held.[4]  The roster included his 1960 and 1971 World Series ring.[5]
Charitable causes
The Clemente Museum carries on the giving legacy of Roberto Clemente. The museum organized local relief efforts upon hearing of the devastation of Hurricane Maria in Puerto Rico in 2017.[6] They asked the community to donate $21, in honor of Clemente's number, for relief.[7] The efforts raised over $50,000 and filled two 43-foot tractor-trailers with supplies.[8]
References
External links"
