Question,Answer
"Where can I see the ""Thursday Night Jazz: Yoko Suzuki Spotlights the Music of Toshiko Akiyoshi""?","40 W. North Ave, Pittsburgh."
"When is the ""Thursday Night Jazz: Yoko Suzuki Spotlights the Music of Toshiko Akiyoshi""?","Thu., Oct. 17, 7-8:30 p.m.."
"Where is the venue for the event ""Thursday Night Jazz: Yoko Suzuki Spotlights the Music of Toshiko Akiyoshi""?",City of Asylum @ Alphabet City.
"Which region is the event ""Thursday Night Jazz: Yoko Suzuki Spotlights the Music of Toshiko Akiyoshi"" in?",North Side.
"Where can I see the ""Ritual Sound Movement Healing Art - Wellness Workshop & Quarterly Immersion""?","5604 Solway, Pittsburgh."
"When is the ""Ritual Sound Movement Healing Art - Wellness Workshop & Quarterly Immersion""?","Sun., Oct. 20, 10:30 a.m.-3 p.m.."
"Where is the venue for the event ""Ritual Sound Movement Healing Art - Wellness Workshop & Quarterly Immersion""?",Wightman School.
"Which region is the event ""Ritual Sound Movement Healing Art - Wellness Workshop & Quarterly Immersion"" in?",Squirrel Hill.
"Where can I see the ""Expressing the Unseen: Using Art to Heal After Pregnancy Loss ~ A Free Online Workshop""?","5604 Solway, Pittsburgh."
"When is the ""Expressing the Unseen: Using Art to Heal After Pregnancy Loss ~ A Free Online Workshop""?","Thu., Oct. 17, 12-1 p.m.."
"Where is the venue for the event ""Expressing the Unseen: Using Art to Heal After Pregnancy Loss ~ A Free Online Workshop""?",Wightman School.
"Which region is the event ""Expressing the Unseen: Using Art to Heal After Pregnancy Loss ~ A Free Online Workshop"" in?",Squirrel Hill.
"Where can I see the ""Pittsburgh Playhouse Fall Fest""?","350 Forbes Avenue, Pittsburgh."
"When is the ""Pittsburgh Playhouse Fall Fest""?","Thu., Oct. 17, Fri., Oct. 18, Sat., Oct. 19, Sun., Oct. 20, Thu., Oct. 24, Fri., Oct. 25, Sat., Oct. 26 and Sun., Oct. 27."
"Where is the venue for the event ""Pittsburgh Playhouse Fall Fest""?",Pittsburgh Playhouse of Point Park University.
"Which region is the event ""Pittsburgh Playhouse Fall Fest"" in?",Downtown.
"What category does the event ""Pittsburgh Playhouse Fall Fest"" fall under?","Festivals, Theater, Kidstuff."
"Where can I see the ""Killer Kocktail Class at Kingfly!""?","2613 Smallman St., Pittsburgh."
"When is the ""Killer Kocktail Class at Kingfly!""?","Thu., Oct. 17, 5-7 p.m.."
"Where is the venue for the event ""Killer Kocktail Class at Kingfly!""?",Kingfly Spirits.
"Which region is the event ""Killer Kocktail Class at Kingfly!"" in?",Strip District.
"Where can I see the ""Fall Used Book Sale""?","301 Lindsay Road, Scott Township."
"When is the ""Fall Used Book Sale""?","Thu., Oct. 17, 5-7 p.m., Fri., Oct. 18, 12-4 p.m., Sat., Oct. 19, 10 a.m.-4 p.m. and Sun., Oct. 20, 10 a.m.-2 p.m.."
"Where is the venue for the event ""Fall Used Book Sale""?",Scott Township Public Library.
"Which region is the event ""Fall Used Book Sale"" in?",Scott.
"Where can I see the ""Circle of Hope""?","5 Hot Metal Street, Pittsburgh."
"When is the ""Circle of Hope""?","Thu., Oct. 17, 5:30-8:30 p.m.."
"Where is the venue for the event ""Circle of Hope""?",The Circuit Center and Ballroom.
"Which region is the event ""Circle of Hope"" in?",South Side.
"Where can I see the ""Brushes & Birds: Owl Edition""?","700 Arch Street, Pittsburgh."
"When is the ""Brushes & Birds: Owl Edition""?","Thu., Oct. 17, 5:30-8 p.m.."
"Where is the venue for the event ""Brushes & Birds: Owl Edition""?",National Aviary.
"Which region is the event ""Brushes & Birds: Owl Edition"" in?",North Side.
"Where can I see the ""Milkshake & Cookies""?","1 PPG Place, Pittsburgh."
"When is the ""Milkshake & Cookies""?","Thu., Oct. 17, 6-9 p.m.."
"Where is the venue for the event ""Milkshake & Cookies""?",Wintergarden at PPG Place.
"Which region is the event ""Milkshake & Cookies"" in?",Downtown.
"Where can I see the ""CLASS: Ankarsrum Basics with Ashley""?","1725 Penn Ave, Pittsburgh."
"When is the ""CLASS: Ankarsrum Basics with Ashley""?","Thu., Oct. 17, 6-8 p.m.."
"Where is the venue for the event ""CLASS: Ankarsrum Basics with Ashley""?",In the Kitchen.
